yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
6/26/06,4.150086,283.89505,296.465576,1.76312,0.008723
6/27/06,3.187504,284.780365,296.06778,1.091606,0.008385
6/28/06,0,284.899597,297.29068,2.169586,0.007059
6/29/06,0,283.856995,298.221741,2.225242,0.006952
6/30/06,0,283.111481,298.619293,1.763973,0.007786
7/1/06,0.6094,287.006653,301.362549,2.442064,0.00843
7/2/06,1.564415,286.931458,300.407593,2.772573,0.008535
7/3/06,0.452968,286.493073,302.226715,2.615054,0.008219
7/4/06,0.053137,289.183685,304.341827,1.991274,0.009119
7/5/06,1.21913,290.640808,301.571136,2.151748,0.010944
7/6/06,0.109633,293.851624,308.177429,4.509394,0.011693
7/7/06,10.321379,293.553009,307.043671,2.990707,0.012273
7/8/06,0.414486,288.383148,300.651276,2.935435,0.010235
7/9/06,0,284.844971,299.087799,1.94249,0.007476
7/10/06,1.344539,287.107605,302.234222,1.876817,0.009141
7/11/06,7.309321,288.324982,299.067535,1.666922,0.011645
7/12/06,0.058093,286.464661,302.360413,1.351657,0.009934
7/13/06,0.137338,289.426239,307.632019,3.164614,0.009779
7/14/06,14.678699,290.864227,303.118042,2.762375,0.01233
7/15/06,1.35679,290.331543,300.373749,2.209122,0.011839
7/16/06,0.414564,288.179413,301.582214,2.34183,0.009664
7/17/06,0,290.576935,306.79126,3.648916,0.008976
7/18/06,4.686912,292.190887,305.187073,3.073598,0.011517
7/19/06,6.015097,288.593933,300.477722,2.489993,0.010717
7/20/06,0,283.297089,295.965088,2.274856,0.007875
7/21/06,6.3555,288.353821,295.816833,1.816671,0.010714
7/22/06,7.028337,289.235413,298.257263,1.499973,0.012125
7/23/06,3.974149,286.880615,298.206177,3.489954,0.010455
7/24/06,0,286.637909,300.589691,2.84677,0.009753
7/25/06,0,286.986389,304.073517,2.200454,0.009962
7/26/06,3.035839,291.125702,302.401306,1.64273,0.010915
7/27/06,0.774825,291.786011,305.875122,2.377735,0.0121
7/28/06,6.152827,291.424164,305.016052,2.151055,0.013112
7/29/06,14.524712,291.549103,302.105255,1.173874,0.015062
7/30/06,3.466252,289.064972,297.145508,2.746627,0.012185
7/31/06,0.08479,288.820343,299.654388,1.948289,0.011939
8/1/06,0.815525,291.310944,301.977875,1.598979,0.014079
8/2/06,0.90871,291.02771,302.9216,0.855775,0.013138
8/3/06,2.319844,290.714111,302.970825,1.019681,0.012471
8/4/06,0.054697,289.218994,301.749542,2.311345,0.010613
8/5/06,0,283.959991,302.070984,0.36394,0.00761
8/6/06,0,288.384644,304.412109,2.510303,0.008858
8/7/06,2.609652,290.069977,302.669586,2.511519,0.010564
8/8/06,1.861839,290.452423,302.752563,2.172342,0.011729
8/9/06,2.671124,291.721191,304.032593,2.401967,0.011398
8/10/06,0.198953,288.833496,302.359436,1.693496,0.009535
8/11/06,0,291.75058,308.606415,3.484632,0.009923
8/12/06,0.78559,294.068207,308.328552,2.819214,0.01139
8/13/06,0,295.976288,309.551208,3.041569,0.011063
8/14/06,0.326611,294.233215,305.685974,3.225287,0.010894
8/15/06,11.456612,290.760864,303.871307,1.227558,0.012776
8/16/06,25.360102,289.838806,297.754578,2.964994,0.01095
8/17/06,0,288.948212,299.653168,2.813001,0.010074
8/18/06,0.57152,287.570251,300.610199,1.770713,0.009772
8/19/06,5.76136,290.252319,300.62674,3.148308,0.011732
8/20/06,3.821542,291.878265,302.381317,0.793122,0.013896
8/21/06,8.732323,291.886719,301.33783,1.546199,0.013687
8/22/06,0.113114,289.268738,301.684845,4.0051,0.011312
8/23/06,0,283.108368,296.967102,2.29494,0.007707
8/24/06,0,282.963837,298.260223,2.791419,0.008727
8/25/06,7.219067,289.591339,299.365234,3.62105,0.012212
8/26/06,0.469524,287.285309,299.719727,2.376704,0.009429
8/27/06,0,281.110565,296.924133,0.608379,0.008391
8/28/06,2.948572,288.071228,296.527618,0.807332,0.010465
8/29/06,1.699961,289.567627,300.629364,0.804998,0.011423
8/30/06,5.987815,289.807129,303.497681,1.976656,0.013171
8/31/06,1.452651,287.599518,303.336975,3.411016,0.010075
9/1/06,2.040743,281.611725,294.575562,3.122156,0.006726
9/2/06,0.387426,278.960419,291.722382,1.418051,0.006717
9/3/06,3.550198,281.599335,293.403534,3.491283,0.006734
9/4/06,57.422386,287.266113,298.446899,3.402806,0.011386
9/5/06,3.799308,284.373108,298.123718,3.924502,0.0087
9/6/06,0,275.833069,289.22113,0.59661,0.005351
9/7/06,0,280.451447,292.744873,3.06351,0.007171
9/8/06,1.476134,285.025208,295.072693,3.394691,0.00906
9/9/06,2.07715,289.292297,298.377106,0.901277,0.010928
